canonical_name,connector_type,sitemap_url_or_endpoint,job_url_regex,robots_result,terms_caveat,test_result,recommend_enable
"LinkedIn","manual","","^https://www\.linkedin\.com/jobs/view/[^?#]+$","careers.linkedin.com/robots.txt returned 200 with an empty body; sitemap probes returned 400. Actual openings are hosted on linkedin.com","LinkedIn User Agreement section 8.2 at https://www.linkedin.com/legal/user-agreement prohibits bots/crawlers that scrape or copy the Services, and approved crawling has separate written terms. Do not automate LinkedIn job pages.","No first-party careers sitemap/feed was found. Current LinkedIn-company openings are discoverable on linkedin.com job pages, but those are contractually unsuitable for this crawler despite page-level structured data that may be visible.","false"
"Nutanix","sitemap","https://careers.nutanix.com/sitemap.xml","^https://careers\.nutanix\.com/en/jobs/[0-9]+/[^?#]+/?$","200; generic user-agent Allows / and the sitemap is declared; some named bots are separately restricted","Do not bypass the site's Cloudflare challenge. Sitemap-only discovery cannot provide an accurate seven-day first run because lastmod is not guaranteed to be datePosted.","Sitemap returned 200 XML with 319 URLs, including 233 English job URLs. A sampled job page returned 403 Cloudflare challenge, so JobPosting/datePosted could not be retrieved conservatively.","false"
"Snap","sitemap","https://careers.snap.com/sitemap.xml","^https://careers\.snap\.com/(?:careers/)?job\?id=[A-Za-z0-9-]+$","200; generic job paths are not disallowed and the sitemap is declared","The sitemap currently publishes broken /careers/job?id= URLs. Transforming them to /job?id= is an undocumented workaround, so do not automate until Snap fixes or documents discovery.","Sitemap returned 200 XML and listed 175 apparent job URLs. Ten sampled sitemap job URLs returned 404. Rewriting one to /job?id= returned 200 with no JSON-LD; application state contained startDate, but that undocumented transform/field is too fragile.","false"
"Expedia Group","sitemap","https://careers.expediagroup.com/jobs-sitemap.xml","^https?://careers\.expediagroup\.com/job/[^/]+/[^/]+/[A-Za-z0-9-]+/?$","200; generic user-agent permits the job paths, declares the sitemap index, and specifies Crawl-delay: 10","Use the advertised sitemap, normalize its http loc values to the final https canonical URLs, obey the ten-second crawl delay, and fetch only title/location candidates.","Job sitemap returned 200 XML with 203 job URLs. Sample Software Development Engineer II page redirected to/returned 200 HTTPS and exposed JobPosting/datePosted=2026-08-24.","true"
"Stripe","sitemap","https://stripe.com/sitemap/sitemap.xml","^https://stripe\.com/careers/listing/[^/]+/[0-9]+/?$","200; generic user-agent does not disallow /careers and robots.txt declares the sitemap index","The sitemap is site-wide and partitioned. Fetch partitions conditionally, retain only /careers/listing URLs, and never interact with application actions.","Index returned 200 XML. Partition 0 held 1083 careers-related URLs. Sample Backend/API Engineer page returned 200 with JobPosting/datePosted=2026-06-13T01:33:09.482Z.","true"
"PayPal","sitemap","https://paypal.eightfold.ai/careers/sitemap_index.xml?domain=paypal.com","^https://paypal\.eightfold\.ai/careers/job/[0-9]+-[^?#]+\?domain=paypal\.com(?:&.*)?$","200; robots.txt explicitly Allows /careers and declares the exact sitemap index","Use only sitemap and public job pages; avoid apply/candidate/login and undocumented Eightfold APIs. Treat sitemap lastmod as change metadata, not datePosted.","Index and child returned 200 XML; child contained 76 job URLs (77 URLs total). Sample Sr Software Engineer page returned 200 with JobPosting/datePosted=2026-08-12T00:00:00.","true"
"Bloomberg","sitemap","https://bloomberg.avature.net/careers/sitemap_index.xml","^https://bloomberg\.avature\.net/careers/JobDetail/[^/]+/[0-9]+/?$","200; generic careers paths are allowed and robots.txt declares the careers sitemap index","Avature sitemap lastmod reflected broad portal updates and is not reliable as original posting date. Without a page datePosted or documented feed field, a seven-day first run cannot be accurate.","Index and child returned 200 XML; child included 385 JobDetail URLs. A sampled live detail page returned 200 but had no JobPosting JSON-LD/datePosted. Do not treat sitemap lastmod as datePosted.","false"
"Morgan Stanley","sitemap","https://morganstanley.eightfold.ai/careers/sitemap_index.xml","^https://morganstanley\.eightfold\.ai/careers/job/[0-9]+-[^?#]+\?domain=morganstanley\.com(?:&.*)?$","200; robots.txt explicitly Allows /careers; sitemap probes are within that allowed path","Use only sitemap and public job pages; avoid apply/candidate/login and undocumented Eightfold APIs. Preserve domain query parameters.","Index and child returned 200 XML; child contained 1351 job URLs (1352 URLs total). Sample page returned 200 with JobPosting/datePosted=2026-08-11T00:00:00.","true"
"Micron Technology","sitemap","https://careers.micron.com/careers/sitemap_index.xml?domain=micron.com","^https://careers\.micron\.com/careers/job/[0-9]+-[^?#]+\?domain=micron\.com(?:&.*)?$","200; robots.txt explicitly Allows /careers and declares the exact sitemap index","Use only sitemap and public job pages; avoid apply/candidate/login and undocumented Eightfold APIs. Strong title/location prefiltering is necessary because most catalog roles are not target backend work.","Index and child returned 200 XML; child contained 2665 job URLs (2666 URLs total). Sample page returned 200 with JobPosting/datePosted=2026-08-20T00:00:00.","true"
"Waymo","sitemap","https://careers.withwaymo.com/sitemap.xml","^https://careers\.withwaymo\.com/jobs/[^?#]+$","200; job paths and sitemap are allowed, /api/ is disallowed, and Crawl-delay is 5 seconds","Never call the disallowed API. Obey the five-second crawl delay, prefilter titles from URL slugs, cache pages, and fetch only new/changed plausible jobs.","Sitemap returned 200 XML with 362 job URLs (376 URLs total). Sample Software Engineer, Simulation Infrastructure page returned 200 with JobPosting/datePosted=2025-12-05T19:05:25Z.","true"
"Starbucks","sitemap","https://apply.starbucks.com/careers/sitemap_index.xml?domain=starbucks.com","^https://apply\.starbucks\.com/careers/job/[0-9]+-[^?#]+\?domain=starbucks\.com(?:&.*)?$","200; robots.txt explicitly Allows /careers and declares the exact sitemap index","The catalog is extremely large and dominated by store roles. Fetch the sitemap once per run, prefilter URL slugs to corporate technology titles, and avoid apply/candidate/login or undocumented Eightfold APIs.","Index and child returned 200 XML; child contained 22117 job URLs (22118 URLs total). Sample Software Engineer page returned 200 with JobPosting/datePosted=2026-07-27T23:35:55.","true"
"Dropbox","sitemap","https://www.dropbox.jobs/sitemap.xml","^https://www\.dropbox\.jobs/en/jobs/[0-9]+/[^?#]+/?$","200; generic user-agent Allows / and the sitemap is declared; several named bots are separately restricted","Do not solve or bypass the Cloudflare challenge. Sitemap-only discovery lacks trustworthy datePosted and cannot meet the seven-day first-run rule.","Sitemap returned 200 XML with 82 locale-duplicated job URLs. Sample English job page returned 403 with cf-mitigated: challenge, so JobPosting/datePosted was not conservatively retrievable.","false"
"Target","sitemap","https://corporate.target.com/sitemapjob.xml","^https://corporate\.target\.com/jobs/[A-Za-z0-9-]+/[A-Za-z0-9-]+/[^?#]+$","200; generic user-agent does not disallow /jobs and robots.txt explicitly declares sitemapjob.xml","The sitemap is large and mostly nontechnical. Fetch it conditionally, prefilter Target Tech/engineering slugs, and rate-limit detail retrieval.","Job sitemap returned 200 XML with 12167 URLs. Sample Cloud Security Software Engineering page returned 200 and contained schema.org JobPosting/datePosted=2026-08-17 (the JSON-LD has formatting quirks but is parseable after normalization).","true"
"Nike","sitemap","https://careers.nike.com/sitemap.xml","^https://careers\.nike\.com/[^/]+/job/[A-Za-z0-9-]+$","200; generic user-agent does not disallow job paths and robots.txt declares the sitemap index","Use the English child sitemap, prefilter engineering/platform titles, and avoid retail/nontechnical detail fetches. Preserve requisition ID as the stable key.","Index and English child returned 200 XML; English child contained 1062 job URLs. Sample Software Engineer II page returned 200 with JobPosting/datePosted=2026-08-13T06:19:00.891229+00:00.","true"
"Adobe","manual","https://careers.adobe.com/us/en/sitemap_index.xml","^https://careers\.adobe\.com/us/en/job/R[0-9]+/[^/?#]+$","200; robots.txt advertises the index and permits public job pages","Adobe General Terms section 6.18 at https://www.adobe.com/legal/terms.html prohibits data mining and scraping. Use official alerts/manual review unless Adobe grants permission.","Index and two children returned 200 XML with 690 job URLs. Current R171372 page returned 200 with valid JobPosting/datePosted=2026-08-24. Workday reported 746 jobs, so the mirror sitemap was also incomplete.","false"
"Snowflake","manual","https://careers.snowflake.com/us/en/sitemap.xml","^https://careers\.snowflake\.com/us/en/job/[A-Z0-9]+/[^/?#]+$","200; robots.txt explicitly advertises the sitemap and permits public job paths","Do not enable this mirror through the generic sitemap connector because its JSON-LD date disagreed with the authoritative source. Recategorize Snowflake to the existing Ashby connector using https://api.ashbyhq.com/posting-api/job-board/snowflake and publishedAt.","Career sitemap returned 200 XML with 389 jobs; Ashby returned 383 currently listed jobs. Sample page returned 200 with JobPosting datePosted=2026-08-23, while authoritative Ashby publishedAt was 2026-08-24T19:47:44Z.","false"
"Palo Alto Networks","manual","https://jobs.paloaltonetworks.com/en/jobs_sitemap.xml","^https://jobs\.paloaltonetworks\.com/en/job/[^/]+/[^/]+/[0-9]+/[0-9]+$","200; robots.txt disallows /search-jobs/ and permits public job pages; the obvious sitemap is accessible but not advertised","Palo Alto Networks Terms of Use at https://www.paloaltonetworks.com/legal-notices/terms-of-use list monitoring, crawling, bots, and scripts as prohibited conduct. Keep manual absent authorization.","Sitemap returned 200 XML with 1310 job URLs. Sample Sr Staff Software Engineer page returned 200 with valid JobPosting/datePosted=2026-8-25.","false"
"Capital One","sitemap","https://www.capitalonecareers.com/jobs_sitemap.xml","^https://www\.capitalonecareers\.com/job/[^/]+/[^/]+/1732/[0-9]+$","200; robots.txt disallows /search-jobs/ but explicitly advertises the job sitemap and permits detail pages","Reviewed https://www.capitalone.com/digital/terms-conditions/ restricts commercial/public copying but contained no robot/scraping ban found. Limit this to personal local use, metadata needed for matching, and low-rate direct page reads.","Job sitemap returned 200 XML with 1737 jobs. Sample Senior Software Engineer Java/Kafka page returned 200 with valid JobPosting/datePosted=2026-8-18 and requisition R248182.","true"
"Citi","manual","https://jobs.citi.com/sitemap.xml","^https://jobs\.citi\.com/job/[^/]+/[^/]+/287/[0-9]+$","200; robots.txt disallows /search-jobs/; direct sitemap is reachable but is not advertised","The career site's directly linked Terms of Use at https://jobs.citi.com/terms-of-use expressly prohibit unauthorized data scraping. Do not automate without Citi authorization.","Sitemap returned 200 XML with 8173 URLs, including 3447 strict job URLs. Sample Digital Software Engineer page returned 200 with valid JobPosting/datePosted=2026-8-11.","false"
"Mastercard","manual","https://careers.mastercard.com/us/en/sitemap_index.xml","^https://careers\.mastercard\.com/us/en/job/R-[0-9]+/[^/?#]+$","200; robots.txt advertises the index and permits public job pages","Mastercard Terms of Use at https://www.mastercard.com/us/en/terms-of-use.html prohibit automated systems such as robots/spiders from accessing the site. Career-subdomain scope is not perfectly explicit, so the conservative result is disabled pending written clarification.","Index and three children returned 200 XML with 1116 job URLs. Sample Software Engineer II page returned 200 with valid JobPosting/datePosted=2026-08-22.","false"
"Fiserv","manual","https://careers.fiserv.com/us/en/sitemap.xml","^https://careers\.fiserv\.com/us/en/job/[^/]+/[^/?#]+$","200; robots.txt advertises the sitemap, permits public jobs, and disallows apply/cart/auth-related paths","Fiserv Terms of Use at https://www.fiserv.com/en/about-fiserv/terms-of-use.html prohibit spiders, robots, and similar data-mining techniques. Career-subdomain scope is not explicit, so keep disabled pending permission.","Sitemap returned 200 XML with 511 URLs, including 474 jobs. Sample Azure Databricks Platform Engineer page returned 200 with valid JobPosting/datePosted=2026-08-24.","false"
"Charles Schwab","sitemap","https://www.schwabjobs.com/sitemap-jobs.xml","^https://www\.schwabjobs\.com/job/[^/]+/[^/]+/[0-9]+/[0-9]+$","200; robots.txt disallows search paths but explicitly advertises its sitemap index and job sitemap","No general career-site Terms of Use link or crawler restriction was found; the footer exposes candidate privacy and cookie controls. Use sitemap plus direct JSON-LD pages only at low rate.","Job sitemap returned 200 XML with 759 URLs, including 324 strict jobs. Sample Software Development Engineer page returned 200 with valid JobPosting/datePosted=2026-8-22 and requisition 2026-124692.","true"
"Intel","manual","https://intel.wd1.myworkdayjobs.com/External/siteMap.xml","^https://intel\.wd1\.myworkdayjobs\.com/(?:en-US/)?External/job/[^/]+/[^/?#]+_JR[0-9]+(?:-[0-9]+)?$","jobs.intel.com robots handling returned 403/404; underlying Workday robots returned 200, advertised the sitemap, and permitted /External/","Intel Terms sections 4.1.14 and 4.1.16-17 at https://www.intel.com/content/www/us/en/legal/terms-of-use.html prohibit automated searches/scraping without prior written permission, data mining, and systematic downloading. Keep manual pending permission.","Advertised Workday sitemap returned 200 but contained only 100 jobs versus CXS total=631. Sample page returned 200 with JobPosting/datePosted=2026-08-21 and detail canApply=true.","false"
"Synopsys","sitemap","https://careers.synopsys.com/sitemap.xml","^https://careers\.synopsys\.com/job/[^/]+/[^/]+/44408/[0-9]+$","200; robots.txt disallows /search-jobs/; the sitemap is accessible and not disallowed, though not advertised","No automated-access prohibition was found in reviewed career legal/footer pages. Restrict collection to the sitemap and public detail-page metadata.","Sitemap returned 200 XML with 1192 URLs, including 422 jobs. Sample Senior Offensive Security Engineer page returned 200 with valid JobPosting/datePosted=2026-7-17.","true"
"Arm","sitemap","https://careers.arm.com/sitemap.xml","^https://careers\.arm\.com/job/[^/]+/[^/]+/33099/[0-9]+$","200; robots.txt disallows /search-jobs/; the sitemap is accessible and not disallowed, though not advertised","Arm Terms at https://www.arm.com/company/policies/terms-and-conditions restrict reproduction, but no automated-access, crawling, scraping, spider, or data-mining prohibition was found. Use only minimal personal-use metadata.","Sitemap returned 200 XML with 649 URLs, including 297 jobs. Sample Senior Private Cloud Engineer page returned 200 with valid JobPosting/datePosted=2026-7-9.","true"
"Hewlett Packard Enterprise","sitemap","https://careers.hpe.com/us/en/sitemap_index.xml","^https://careers\.hpe\.com/us/en/job/[0-9]+/[^/?#]+$","200; careers and Workday robots both advertise their sitemaps and permit relevant public paths","HPE Acceptable Use Policy at https://www.hpe.com/us/en/legal/acceptable-use-policy.html prohibits high-volume automated means, not all automation. Cap calls, space requests by 1-3 seconds, and fetch details only for unseen title/location candidates.","Career index and three children returned 200 XML with 1075 jobs; Workday CXS total=1073. Sample Systems/Software Engineer page returned 200 with JobPosting/datePosted=2026-08-24T00:00:00Z; Workday confirmed startDate and canApply=true.","true"
"General Motors","manual","https://generalmotors.wd5.myworkdayjobs.com/wday/cxs/generalmotors/Careers_GM/jobs","^https://generalmotors\.wd5\.myworkdayjobs\.com/(?:en-US/)?Careers_GM/job/[^/]+/[^/?#]+_JR-[0-9]+(?:-[0-9]+)?$","GM search-site robots permits generic crawling and its sitemap; search-site detail requests hit a Cloudflare challenge. Workday robots permits Careers_GM and its sitemap","Do not enable through the generic sitemap/JSON-LD connector: the usable path is a Workday CXS POST. GM user guidelines at https://www.gm.com/user-guidelines allow automation only below a human-reasonable ceiling; a future Workday-specific enablement must cache strictly and never bypass Cloudflare.","GM search sitemap returned 200 with 798 strict English jobs; CXS returned 200 JSON with total=808. Sample Workday Software Engineer page returned 200 with JobPosting/datePosted=2026-08-21 and CXS detail canApply=true.","false"
"Chewy","manual","https://careers.chewy.com/us/en/sitemap.xml","^https://careers\.chewy\.com/us/en/job/R[0-9]+/[^/?#]+$","200; careers robots advertises the sitemap and permits public job paths; underlying Workday robots disallows /External/, so stay on careers.chewy.com","Do not enable with the generic connector: accurate freshness requires exact custom parsing of phApp.ddo.jobDetail.data.job.postedDate; JSON-LD was one day later. Chewy terms at https://www.chewy.com/app/content/terms limit use to personal/local and restrict collection/republication.","Sitemap returned 200 XML with 378 URLs, including 246 jobs. Sample Software Engineer II Java/AWS page returned 200; JSON-LD said 2026-08-25 but authoritative inline phApp.ddo.jobDetail.data.job.postedDate and one-off Workday validation said 2026-08-24.","false"
"eBay","manual","https://ebay.wd5.myworkdayjobs.com/wday/cxs/ebay/apply/jobs","^https://jobs\.ebayinc\.com/us/en/job/R[0-9]+/[^/?#]+$","careers robots returned 200, advertises its sitemap, and permits jobs. Workday robots disallows the /apply/ page prefix but does not disallow /wday/cxs","Do not enable through the generic JSON-LD connector because observed markup validity was inconsistent; the reliable path is Workday-specific CXS startDate parsing. No crawler ban was found in https://www.ebayinc.com/terms-of-use/, but keep disabled until configured as a conservatively rate-limited Workday source.","Career sitemap returned 200 with 469 jobs; CXS returned 200 JSON with total=466. Sample backend page returned 200, but one JSON-LD block was invalid due an unescaped quote; raw datePosted and CXS startDate both equaled 2026-08-24 and canApply=true.","false"
