canonical_name,domain,careers_url,ats_type,ats_identifier/base_url,sponsorship_confidence,sponsorship_recent_year,evidence_summary,evidence_url(s),role_fit_tags,caveats,sector,fy2025_q4_certified_records,fy2025_q4_softwareish_records,fy2025_q4_change_employer_positions,matched_legal_employers
Okta,okta.com,https://www.okta.com/company/careers/,greenhouse,okta,high,FY2025-Q4,DOL OFLC FY2025 Q4: 35 certified/certified-withdrawn LCA records matched to named legal employer(s); 29 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=8.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;identity-security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Strong security fit; separate customer-facing roles from product engineering.,Enterprise SaaS,35,29,8,"Okta, Inc.  (35)"
Twilio,twilio.com,https://jobs.twilio.com/careers,greenhouse,twilio,high,FY2025-Q4,DOL OFLC FY2025 Q4: 35 certified/certified-withdrawn LCA records matched to named legal employer(s); 32 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=7.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Remote eligibility and location-based hiring vary.,Enterprise SaaS,35,32,7,"Twilio, Inc. (35)"
HubSpot,hubspot.com,https://www.hubspot.com/careers/jobs,greenhouse,hubspotjobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 31 certified/certified-withdrawn LCA records matched to named legal employer(s); 27 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=7.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prioritize backend infrastructure; many postings are go-to-market roles.,Enterprise SaaS,31,27,7,"HubSpot, Inc. (31)"
Zoom,zoom.us,https://careers.zoom.us/jobs/search,workday,zoom:wd5:Zoom,high,FY2025-Q4,DOL OFLC FY2025 Q4: 20 certified/certified-withdrawn LCA records matched to named legal employer(s); 17 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=11.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Do not confuse with ZoomInfo; legal-employer match is exact.,Enterprise SaaS,20,17,11,"Zoom Communications, Inc. (20)"
DocuSign,docusign.com,https://careers.docusign.com/careers-home/jobs/,phenom,https://careers.docusign.com/careers-home/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 71 certified/certified-withdrawn LCA records matched to named legal employer(s); 66 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=30.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Brand capitalization varies in DOL records; records are normalized by regex.,Enterprise SaaS,71,66,30,"Docusign, Inc. (26); Docusign Inc.  (22); DocuSign Inc.  (22); Docusign Inc. (1)"
Dropbox,dropbox.com,https://www.dropbox.jobs/en/jobs/,custom,https://www.dropbox.jobs/en/jobs/,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 14 certified/certified-withdrawn LCA records matched to named legal employer(s); 10 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=5.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. US openings can be limited and leveling often skews senior.,Enterprise SaaS,14,10,5,"Dropbox, Inc. (14)"
Box,box.com,https://www.box.com/careers/jobs,greenhouse,boxinc,high,FY2025-Q4,DOL OFLC FY2025 Q4: 30 certified/certified-withdrawn LCA records matched to named legal employer(s); 30 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=10.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Exact legal-employer match excludes Dropbox/Mapbox/other false substring hits.,Enterprise SaaS,30,30,10," Box, Inc. (30)"
Nutanix,nutanix.com,https://nutanix.wd1.myworkdayjobs.com/Nutanix,workday,nutanix:wd1:Nutanix,high,FY2025-Q4,DOL OFLC FY2025 Q4: 32 certified/certified-withdrawn LCA records matched to named legal employer(s); 29 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=6.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Core roles may be systems/C++; target cloud control plane and platform services.,Enterprise SaaS,32,29,6,"Nutanix, Inc. (32)"
Palantir,palantir.com,https://www.palantir.com/careers/,lever,palantir,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 16 certified/certified-withdrawn LCA records matched to named legal employer(s); 12 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=8.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Some roles require clearance or travel; exclude those when incompatible.,Enterprise SaaS,16,12,8,PALANTIR TECHNOLOGIES INC. (16)
CrowdStrike,crowdstrike.com,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers,workday,crowdstrike:wd5:crowdstrikecareers,high,FY2025-Q4,DOL OFLC FY2025 Q4: 40 certified/certified-withdrawn LCA records matched to named legal employer(s); 34 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=8.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Strong security fit; retain product/cloud IC roles within level range.,Enterprise SaaS,40,34,8,"CrowdStrike, Inc. (40)"
Zscaler,zscaler.com,https://www.zscaler.com/careers/search,smartrecruiters,Zscaler,high,FY2025-Q4,DOL OFLC FY2025 Q4: 24 certified/certified-withdrawn LCA records matched to named legal employer(s); 22 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=9.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many roles are network-security-specific; backend/cloud openings are the best fit.,Enterprise SaaS,24,22,9,"Zscaler, Inc. (24)"
Palo Alto Networks,paloaltonetworks.com,https://jobs.paloaltonetworks.com/en/search-jobs,phenom,https://jobs.paloaltonetworks.com/en/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 97 certified/certified-withdrawn LCA records matched to named legal employer(s); 88 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=189.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Strong security fit; avoid principal/staff roles and specialized hardware roles.,Enterprise SaaS,97,88,189,"Palo Alto Networks, Inc. (96); Palo Alto Networks, INC (1)"
Rubrik,rubrik.com,https://www.rubrik.com/company/careers,greenhouse,rubrik,high,FY2025-Q4,DOL OFLC FY2025 Q4: 22 certified/certified-withdrawn LCA records matched to named legal employer(s); 18 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=5.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Storage internals roles may be specialized; cloud platform/security teams fit better.,Enterprise SaaS,22,18,5,"Rubrik, Inc. (21); Rubrik, Inc.  (1)"
Samsara,samsara.com,https://www.samsara.com/company/careers/roles,greenhouse,samsara,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 13 certified/certified-withdrawn LCA records matched to named legal employer(s); 9 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=5.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Some product roles are IoT/embedded; target cloud infrastructure and backend.,Enterprise SaaS,13,9,5,Samsara Inc. (13)
Figma,figma.com,https://www.figma.com/careers/,greenhouse,figma,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 9 certified/certified-withdrawn LCA records matched to named legal employer(s); 5 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=4.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Small current LCA sample; confirm transfer support before investing heavily.,Enterprise SaaS,9,5,4,"Figma, Inc. (9)"
JPMorgan Chase,jpmorganchase.com,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs,oracle,jpmc.fa.oraclecloud.com:CX_1001,high,FY2025-Q4,DOL OFLC FY2025 Q4: 629 certified/certified-withdrawn LCA records matched to named legal employer(s); 475 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=39.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Engineering titles can be generic; retain hands-on software roles in target level.,Banking & Payments,629,475,39,JPMorgan Chase & Co. (624); JPMORGAN CHASE & CO. (5)
Capital One,capitalone.com,https://www.capitalonecareers.com/search-jobs,phenom,https://www.capitalonecareers.com/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 220 certified/certified-withdrawn LCA records matched to named legal employer(s); 113 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=58.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Visa support is role-specific despite substantial employer-level activity.,Banking & Payments,220,113,58,"Capital One Services, LLC (153); Capital One, National Association (67)"
Goldman Sachs,goldmansachs.com,https://higher.gs.com/results,custom,https://higher.gs.com/results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 287 certified/certified-withdrawn LCA records matched to named legal employer(s); 156 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=93.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Filter out quant/finance-specialist jobs that do not match backend scope.,Banking & Payments,287,156,93,"GOLDMAN SACHS & CO. LLC (160); GOLDMAN SACHS SERVICES LLC (87); GOLDMAN SACHS BANK USA (33); GOLDMAN SACHS WEALTH SERVICES, L.P. (6); Goldman Sachs Wealth Services, L.P. (1)"
Morgan Stanley,morganstanley.com,https://morganstanley.eightfold.ai/careers,eightfold,morganstanley.eightfold.ai,high,FY2025-Q4,DOL OFLC FY2025 Q4: 216 certified/certified-withdrawn LCA records matched to named legal employer(s); 156 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=57.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many titles omit software keywords; description parsing is important.,Banking & Payments,216,156,57,"Morgan Stanley Services Group Inc. (169); Morgan Stanley & Co., LLC (20); Morgan Stanley Services Group, Inc. (8); Morgan Stanley Smith Barney LLC (5); Morgan Stanley Investment Management Inc. (3); Morgan Stanley Bank N.A. (3); Morgan Stanley Fund Services Inc. (3); Morgan Stanley Private Bank, NA (2); Morgan Stanley Private Bank NA (2); Morgan Stanley & Co, LLC. (1)"
Bank of America,bankofamerica.com,https://careers.bankofamerica.com/en-us/job-search,custom,https://careers.bankofamerica.com/en-us/job-search,high,FY2025-Q4,DOL OFLC FY2025 Q4: 139 certified/certified-withdrawn LCA records matched to named legal employer(s); 103 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=12.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Employer-level evidence does not imply every business unit transfers H-1B.,Banking & Payments,139,103,12,BANK OF AMERICA N.A. (139)
Citi,citi.com,https://jobs.citi.com/search-jobs,phenom,https://jobs.citi.com/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 425 certified/certified-withdrawn LCA records matched to named legal employer(s); 271 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=64.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prioritize technology organization roles; exclude banking operations.,Banking & Payments,425,271,64,"Citibank, N.A. (425)"
Wells Fargo,wellsfargo.com,https://www.wellsfargojobs.com/en/jobs/,custom,https://www.wellsfargojobs.com/en/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 116 certified/certified-withdrawn LCA records matched to named legal employer(s); 86 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=39.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Job IDs can move between career-site platforms; canonical apply URL should be retained.,Banking & Payments,116,86,39,"Wells Fargo Bank, N.A. (58); WELLS FARGO BANK, N.A. (55); Wells Fargo Securities, LLC (3)"
American Express,americanexpress.com,https://careers.americanexpress.com/en/sites/CX_1/jobs,oracle,careers.americanexpress.com:CX_1,high,FY2025-Q4,DOL OFLC FY2025 Q4: 165 certified/certified-withdrawn LCA records matched to named legal employer(s); 140 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=62.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Technology roles are a subset of a broad catalog.,Banking & Payments,165,140,62,"American Express Travel Related Services Company, Inc. (151); American Express Company (11); American Express National Bank (3)"
Visa,visa.com,https://visa.wd5.myworkdayjobs.com/Visa,workday,visa:wd5:Visa,high,FY2025-Q4,DOL OFLC FY2025 Q4: 170 certified/certified-withdrawn LCA records matched to named legal employer(s); 144 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=24.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Use exact legal entities; unrelated employers containing 'Visa' are excluded.,Banking & Payments,170,144,24,Visa Technology & Operations LLC (100); Visa U.S.A. Inc. (70)
Mastercard,mastercard.com,https://careers.mastercard.com/us/en/search-results,phenom,https://careers.mastercard.com/us/en/search-results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 172 certified/certified-withdrawn LCA records matched to named legal employer(s); 159 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=23.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prioritize core technology and cyber roles over consulting/sales.,Banking & Payments,172,159,23,"Mastercard Technologies, LLC (137); Mastercard International Incorporated (35)"
PayPal,paypal.com,https://paypal.eightfold.ai/careers,eightfold,paypal.eightfold.ai,high,FY2025-Q4,DOL OFLC FY2025 Q4: 225 certified/certified-withdrawn LCA records matched to named legal employer(s); 178 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=86.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Some listings may sit under acquired brands; this row covers PayPal legal entities only.,Banking & Payments,225,178,86,"PayPal, Inc. (221); PayPal Data Services, Inc. (4)"
Block,block.xyz,https://block.xyz/careers/jobs,greenhouse,block,high,FY2025-Q4,DOL OFLC FY2025 Q4: 35 certified/certified-withdrawn LCA records matched to named legal employer(s); 23 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=8.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Career catalog includes Square/Cash App/TIDAL units; sponsorship may vary by entity.,Banking & Payments,35,23,8,"Block, Inc. (31); Block, Inc.  (4)"
